City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
327,bay roberts,47.5999,-53.2648,39.25,87,70,13.0,CA
328,nhulunbuy,-12.2333,136.7667,84.81,79,84,4.61,AU
329,igarka,67.4667,86.5833,9.54,94,100,20.31,RU
330,geraldton,-28.7667,114.6,59.41,55,77,10.36,AU
331,sangueya,10.7,-14.3667,88.56,45,100,2.75,GN
332,troitskiy,57.0603,63.7481,7.21,93,7,6.53,RU
333,hokitika,-42.7167,170.9667,58.12,92,100,1.23,NZ
334,forio,40.7342,13.8646,70.43,81,34,10.0,IT
335,barguzin,53.6167,109.6167,12.25,89,95,3.69,RU
336,tocopilla,-22.092,-70.1979,65.64,72,30,3.24,CL
337,esperance,-33.8667,121.9,55.26,77,81,23.44,AU
338,mandan,46.8267,-100.8896,3.81,75,75,18.41,US
339,presidencia roque saenz pena,-26.7852,-60.4388,83.79,41,0,12.12,AR
340,manoel urbano,-8.8389,-69.2597,72.84,99,100,0.81,BR
341,yushu,44.8,126.5333,27.7,85,65,5.79,CN
342,angoram,-4.0625,144.0661,75.96,96,86,1.97,PG
343,saint-augustin,51.226,-58.6502,28.0,96,100,7.54,CA
344,snyder,32.7179,-100.9176,31.32,80,0,13.8,US
345,zapolyarnyy,69.4154,30.8136,29.48,85,100,6.91,RU
346,cadillac,44.2519,-85.4012,24.71,86,100,6.91,US
347,pangody,65.85,74.4859,11.75,93,100,18.25,RU
348,klaksvik,62.2266,-6.589,47.32,86,95,35.66,FO
349,alugan,12.2188,125.4808,79.0,89,100,8.03,PH
350,byron bay,-28.65,153.6167,60.71,70,22,0.85,AU
351,aras,42.5617,-2.356,48.63,81,75,8.05,ES
352,kotido,2.9806,34.1331,84.36,29,50,14.32,UG
353,garowe,8.4054,48.4845,90.32,19,0,5.82,SO
354,verkhnevilyuysk,63.4453,120.3167,-26.23,99,25,3.27,RU
355,bilibino,68.0546,166.4372,-29.43,98,67,3.31,RU
356,dawson creek,55.7666,-120.2362,1.04,85,0,0.0,CA
357,lewistown,40.5992,-77.5714,32.25,84,75,4.61,US
358,meulaboh,4.1363,96.1285,78.48,80,80,2.33,ID
359,burns lake,54.2331,-125.7533,-4.58,95,85,1.74,CA
360,socorro,31.6546,-106.3033,48.88,48,40,6.91,US
361,sao raimundo nonato,-9.0153,-42.6994,83.28,58,95,8.01,BR
362,tomaszow lubelski,50.4477,23.4162,31.73,76,100,5.12,PL
363,port hedland,-20.3167,118.5667,75.25,69,41,14.97,AU
364,college,64.8569,-147.8028,13.59,85,40,0.0,US
365,sabha,27.0377,14.4283,78.51,14,4,8.93,LY
366,parrsboro,45.4001,-64.332,32.56,60,48,5.99,CA
367,poso,-1.3959,120.7524,77.07,93,100,5.97,ID
368,fraserburgh,57.6874,-2.0184,48.11,86,100,39.93,GB
369,kirakira,-10.4544,161.9205,79.2,79,92,3.83,SB
370,sciacca,37.5082,13.0881,69.03,80,20,19.95,IT
371,sao felix do xingu,-6.6447,-51.995,83.07,65,93,1.25,BR
372,san andres,12.5847,-81.7006,80.62,83,20,8.05,CO
373,portland,45.5234,-122.6762,40.95,49,0,13.0,US
374,manbij,36.5281,37.9549,64.22,54,83,0.54,SY
375,koslan,63.4564,48.8989,14.85,98,95,3.22,RU
376,pandharpur,17.6667,75.3333,80.44,30,2,7.67,IN
377,kardailovo,51.5386,53.9042,32.18,87,100,10.27,RU
378,mosquera,4.7059,-74.2302,53.69,94,100,3.44,CO
379,camacha,33.0833,-16.3333,65.62,60,40,13.8,PT
380,taltal,-25.4,-70.4833,63.37,82,47,1.97,CL
381,gigmoto,13.7796,124.39,80.98,85,99,11.83,PH
382,okha,53.5739,142.9478,21.42,90,100,5.14,RU
383,le vauclin,14.5452,-60.8388,80.85,78,20,10.36,MQ
384,calama,-22.4667,-68.9333,52.29,20,0,25.32,CL
385,biak,-0.9131,122.8766,78.44,82,98,1.57,ID
386,mahebourg,-20.4081,57.7,79.09,53,40,6.91,MU
387,airai,-8.9266,125.4092,63.9,93,100,1.28,TL
388,namibe,-15.1961,12.1522,81.23,69,0,11.5,AO
389,ixtapa,20.7,-105.2,70.23,86,0,3.09,MX
390,roswell,34.0232,-84.3616,32.56,77,0,6.91,US
